11001;THEORIE GRAPHES;théorie graphes;DOM;110 MATHEMATIQUES;;11022 RECHERCHE OPERATIONNELLE;;31672 PERT;Branche des mathématiques permettant de résoudre des problèmes par leur représentation graphique.;;;114 Mathématiques;;11001 THEORIE GRAPHES
11002;PROGRAMMATION LINEAIRE;programmation linéaire;DOM;110 MATHEMATIQUES;;11022 RECHERCHE OPERATIONNELLE;;;Ensemble des problèmes de recherche opérationnelle où l'on optimise un critère représenté par une fonction linéaire des variables de décision, sous des contraintes exprimées par des équations linéaires.;;;114 Mathématiques;;11002 PROGRAMMATION LINEAIRE
11006;ANALYSE FACTORIELLE;analyse factorielle;DOM;110 MATHEMATIQUES;;11016 ANALYSE DONNEES;;;Méthode statistique destinée à extraire les éléments principaux déterminant les variations d'une grandeur observable.;;;114 Mathématiques;;11006 ANALYSE FACTORIELLE
11007;PLAN EXPERIENCE;plan expérience;DOM;110 MATHEMATIQUES;analyse variance$planification expérience;11057 STATISTIQUE INFERENTIELLE;;31308 METHODE TAGUCHI;Schéma présidant, dans une expérimentation, au recueil des données et tendant à permettre une analyse statistique subséquente de ces données.;;;114 Mathématiques;;11007 PLAN D'EXPERIENCE
11014;ALGORITHME;algorithme;DOM;110 MATHEMATIQUES;;11054 MATHEMATIQUES;;23567 CALCUL STRUCTURE$31067 ANALYSE PROGRAMMATION;Suite finie d'opérations élémentaires constituant un schéma de calcul ou de résolution d'un problème.;;;114 Mathématiques;;11014 ALGORITHME
11016;ANALYSE DONNEES;analyse données;DOM;110 MATHEMATIQUES;analyse discriminante$analyse multidimensionnelle;11045 STATISTIQUE DESCRIPTIVE;11006 ANALYSE FACTORIELLE;;Ensemble de méthodes permettant la description de tableaux d'observations statistiques en ne faisant intervenir aucune hypothèse sur l'origine de ces observations.;;;114 Mathématiques;;11016 ANALYSE DONNEES
11017;STATISTIQUE APPLIQUEE;statistique appliquée;DOM;110 MATHEMATIQUES;biométrie$biostatique$biostatistique$géostatistique$statistique industrielle$statistique marketing;11036 STATISTIQUE;;;;Utilisé pour les formations aux statistiques appliquées à un domaine particulier (statistique marketing, biostatistique) ne faisant pas l'objet d'un descripteur.;;114 Mathématiques;32151 Chargé d'analyses et de développement$53121 Cadre technique d'études scientifiques et de recherche fondamentale;
11018;REPRESENTATION GRAPHIQUE STATISTIQUE;représentation graphique statistique;DOM;110 MATHEMATIQUES;diagramme$histogramme;11036 STATISTIQUE;;31337 OUTIL QUALITE;Représentation de données par une construction graphique (diagramme, réseau, carte, etc.).;;;114 Mathématiques;;11018 REPRESENTATION GRAPHIQUE STATISTIQUE
11020;MODELE SIMULATION;modèle simulation;DOM;110 MATHEMATIQUES;modélisation simulation;11031 MODELE MATHEMATIQUE;;;Outil d'étude des comportements d'un processus, fondé sur l'observation de la variation des paramètres, des variables de commande et des grandeurs perturbatrices.;;;114 Mathématiques;;11020 MODELE SIMULATION
11022;RECHERCHE OPERATIONNELLE;recherche opérationnelle;DOM;110 MATHEMATIQUES;;11033 MATHEMATIQUES DECISION;11001 THEORIE GRAPHES$11002 PROGRAMMATION LINEAIRE;;Techniques rationnelles d'analyse et de résolution de problèmes visant à préparer scientifiquement les décisions les meilleures possibles, tout en respectant les contraintes inhérentes à ces problèmes.;;;114 Mathématiques;;11022 RECHERCHE OPERATIONNELLE
